order_id,customer_name,order_date,expected_amount,currency,order_status
ORD-5001,Tanmay Bhat,2026-09-03 09:18:00,24999.0,INR,COMPLETED
ORD-5002,Zakir Khan,2026-09-03 09:36:00,1499.0,INR,COMPLETED
ORD-5003,Bhuvan Bam,2026-09-03 09:54:00,24999.0,INR,COMPLETED
ORD-5004,Pooja Hegde,2026-09-03 10:12:00,49990.0,INR,COMPLETED
ORD-5005,Smriti Mandhana,2026-09-03 10:30:00,49990.0,INR,COMPLETED
ORD-5006,Meera Deshmukh,2026-09-03 10:48:00,4999.0,INR,COMPLETED
ORD-5007,Mithila Palkar,2026-09-03 11:06:00,4999.0,INR,COMPLETED
ORD-5008,Shreya Ghoshal,2026-09-03 11:24:00,24999.0,INR,COMPLETED
ORD-5009,Vikrant Massey,2026-09-03 11:42:00,4999.0,INR,COMPLETED
ORD-5010,Biswa Kalyan,2026-09-03 12:00:00,24999.0,INR,COMPLETED
ORD-5011,Neeraj Chopra,2026-09-03 12:18:00,12499.0,INR,COMPLETED
ORD-5012,Mithila Palkar,2026-09-03 12:36:00,8990.0,INR,COMPLETED
ORD-5013,Smriti Mandhana,2026-09-03 12:54:00,4999.0,INR,COMPLETED
ORD-5014,Mithila Palkar,2026-09-03 13:12:00,49990.0,INR,COMPLETED
ORD-5015,Sunil Chhetri,2026-09-03 13:30:00,8990.0,INR,COMPLETED
ORD-5016,Arjun Kapoor,2026-09-03 13:48:00,8990.0,INR,COMPLETED
ORD-5017,Devendra Fadnavis,2026-09-03 14:06:00,12499.0,INR,COMPLETED
ORD-5018,Aditya Singhania,2026-09-03 14:24:00,2499.0,INR,COMPLETED
ORD-5019,Smriti Mandhana,2026-09-03 14:42:00,8990.0,INR,COMPLETED
ORD-5020,Rohan Mehra,2026-09-03 15:00:00,8990.0,INR,COMPLETED
ORD-5021,Neeraj Chopra,2026-09-03 15:18:00,12499.0,INR,COMPLETED
ORD-5022,Kavita Krishnan,2026-09-03 15:36:00,18999.0,INR,COMPLETED
ORD-5023,Bhuvan Bam,2026-09-03 15:54:00,18999.0,INR,COMPLETED
ORD-5024,Shreya Ghoshal,2026-09-03 16:12:00,2499.0,INR,COMPLETED
ORD-5025,Kavita Krishnan,2026-09-03 16:30:00,1499.0,INR,COMPLETED
ORD-5026,Pooja Hegde,2026-09-03 16:48:00,8990.0,INR,COMPLETED
ORD-5027,PV Sindhu,2026-09-03 17:06:00,2499.0,INR,COMPLETED
ORD-5028,Tanmay Bhat,2026-09-03 17:24:00,12499.0,INR,COMPLETED
ORD-5029,Mithila Palkar,2026-09-03 17:42:00,24999.0,INR,COMPLETED
ORD-5030,PV Sindhu,2026-09-03 18:00:00,8990.0,INR,COMPLETED
ORD-5031,Kanan Gill,2026-09-03 18:18:00,4999.0,INR,COMPLETED
ORD-5032,Vikrant Massey,2026-09-03 18:36:00,24999.0,INR,COMPLETED
ORD-5033,Kanan Gill,2026-09-03 18:54:00,2499.0,INR,COMPLETED
ORD-5034,Kanan Gill,2026-09-03 19:12:00,18999.0,INR,COMPLETED
ORD-5035,Shreya Ghoshal,2026-09-03 19:30:00,24999.0,INR,COMPLETED
ORD-5036,Kavita Krishnan,2026-09-03 19:48:00,8990.0,INR,COMPLETED
ORD-5037,Aditya Singhania,2026-09-03 20:06:00,24999.0,INR,COMPLETED
ORD-5038,Pooja Hegde,2026-09-03 20:24:00,1499.0,INR,COMPLETED
ORD-5039,Sunil Chhetri,2026-09-03 20:42:00,24999.0,INR,COMPLETED
ORD-5040,Meera Deshmukh,2026-09-03 21:00:00,18999.0,INR,COMPLETED
ORD-5041,Radhika Apte,2026-09-03 21:18:00,12499.0,INR,COMPLETED
ORD-5042,Devendra Fadnavis,2026-09-03 21:36:00,18999.0,INR,COMPLETED
ORD-5043,Shreya Ghoshal,2026-09-03 21:54:00,12499.0,INR,COMPLETED
ORD-5044,Aditya Singhania,2026-09-03 22:12:00,12499.0,INR,COMPLETED
ORD-5045,Vikrant Massey,2026-09-03 22:30:00,1499.0,INR,COMPLETED
ORD-5046,Biswa Kalyan,2026-09-03 22:48:00,1499.0,INR,COMPLETED
ORD-5047,Kanan Gill,2026-09-03 23:06:00,8990.0,INR,COMPLETED
ORD-5048,Bhuvan Bam,2026-09-03 23:24:00,1499.0,INR,COMPLETED
ORD-5049,Smriti Mandhana,2026-09-03 23:42:00,18999.0,INR,COMPLETED
ORD-5050,Smriti Mandhana,2026-09-04 00:00:00,18999.0,INR,COMPLETED
